\ N0=10.79
\ Y=18.03
\ i=54.45
\ q=1.917
\ sigma=42.44
\ tv=187.9
\ This is a dust torus emission obtained from the median parameter values of
\ best-fit CLUMPY models of PG quasars.
\ The wavelength is in the unit micron and the flux density (fnu) is normalised
\ to be integrated as 1.
\ The template is generated by SGJY at Mon May 29 20:35:29 2017 in KIAA-PKU.
|    wavelength|             flux|
|        double|           double|
|              |                 |
|          null|             null|
   1.3462605793 7.17136515012e-17 
   1.3587299019 7.46843452146e-17 
  1.37131471775 7.78074769913e-17 
  1.38401609657 8.10921894106e-17 
  1.39683511799 8.45478621365e-17 
  1.40977287163 8.81848750342e-17 
  1.42283045721 9.20138969161e-17 
  1.43600898465 9.60471376448e-17 
  1.44930957413 9.98143026426e-17 
   1.4627333562 1.02716938225e-16 
  1.47628147191 1.05731826011e-16 
  1.48995507285 1.08864374496e-16 
   1.5037553213 1.12120266305e-16 
  1.51768339028   1.155047173e-16 
   1.5317404637 1.19024528851e-16 
  1.54592773642 1.22685257629e-16 
  1.56024641437 1.26494416257e-16 
  1.57469771464  1.3045848752e-16 
  1.58928286562 1.34585510071e-16 
  1.60400310706 1.38883040987e-16 
  1.61885969018  1.4335965977e-16 
  1.63385387781 1.48023797744e-16 
  1.64898694447  1.5288533838e-16 
  1.66426017649 1.57953690978e-16 
  1.67967487209 1.63239183539e-16 
  1.69523234155 1.68753047952e-16 
  1.71093390727 1.74506768009e-16 
  1.72678090388  1.8051296847e-16 
  1.74277467841 1.86784540816e-16 
  1.75891659033 1.93334687704e-16 
  1.77520801172 1.99948076939e-16 
  1.79165032736 2.03868257894e-16 
  1.80824493488   2.079027285e-16 
  1.82499324482 2.12055682193e-16 
   1.8418966808 2.16331519857e-16 
  1.85895667964 2.20733782945e-16 
  1.87617469144 2.25268176309e-16 
  1.89355217976 2.29938611847e-16 
  1.91109062169 2.34750735138e-16 
  1.92879150802 2.39709361965e-16 
  1.94665634334 2.44820034184e-16 
  1.96468664618 2.50089078993e-16 
  1.98288394913 2.55521460353e-16 
  2.00124979897 2.61123446192e-16 
  2.01978575682 2.66902741762e-16 
  2.03849339825 2.72864474021e-16 
  2.05737431343 2.79016970569e-16 
  2.07643010726 2.85367077228e-16 
  2.09566239948 2.91922617793e-16 
  2.11507282487 2.98691030797e-16 
  2.13466303332 3.05681503272e-16 
  2.15443469003 3.12902866625e-16 
   2.1743894756 3.20363804084e-16 
   2.1945290862 3.25337011621e-16 
  2.21485523373 3.29606225731e-16 
  2.23536964591 3.33971103523e-16 
   2.2560740665 3.38435379083e-16 
  2.27697025538 3.43001512163e-16 
  2.29805998876 3.47671992154e-16 
  2.31934505927 3.52450938402e-16 
  2.34082727618 3.57340366128e-16 
  2.36250846548  3.6234371306e-16 
  2.38439047009 3.67464742917e-16 
