#   wa_calc,   carbon,     silicate,     factor
     0.091   2.8112-143   2.3039-294   2.8112-143
     0.848   3.3916E-23   2.6239E-24   3.6540E-23
     0.858   3.5588E-23   2.7000E-24   3.8288E-23
     0.868   3.7380E-23   2.7763E-24   4.0156E-23
     0.879   3.9314E-23   2.8527E-24   4.2167E-23
     0.889   4.1422E-23   2.9291E-24   4.4351E-23
     0.899   4.3745E-23   3.0054E-24   4.6751E-23
     0.910   4.6343E-23   3.0814E-24   4.9424E-23
     0.920   4.9308E-23   3.1570E-24   5.2465E-23
     0.931   5.2775E-23   3.2324E-24   5.6007E-23
     0.942   5.6951E-23   3.3074E-24   6.0258E-23
     0.953   6.2164E-23   3.3820E-24   6.5546E-23
     0.964   6.8953E-23   3.4560E-24   7.2409E-23
     0.975   7.8237E-23   3.5294E-24   8.1766E-23
     0.987   9.1654E-23   3.6021E-24   9.5257E-23
     0.998   1.1224E-22   3.6740E-24   1.1591E-22
     1.010   1.4566E-22   3.7454E-24   1.4940E-22
     1.022   2.0153E-22   3.8161E-24   2.0535E-22
     1.034   2.8795E-22   3.8858E-24   2.9183E-22
     1.046   3.7570E-22   3.9546E-24   3.7966E-22
     1.058   3.8123E-22   4.0223E-24   3.8525E-22
     1.070   3.1195E-22   4.0889E-24   3.1603E-22
     1.083   2.4342E-22   4.1544E-24   2.4757E-22
     1.096   1.9828E-22   4.2187E-24   2.0250E-22
     1.108   1.7158E-22   4.2817E-24   1.7587E-22
     1.121   1.5673E-22   4.3433E-24   1.6107E-22
     1.134   1.4964E-22   4.4036E-24   1.5404E-22
     1.148   1.4820E-22   4.4624E-24   1.5266E-22
     1.161   1.5150E-22   4.5197E-24   1.5602E-22
     1.175   1.5943E-22   4.5756E-24   1.6400E-22
     1.188   1.7236E-22   4.6299E-24   1.7699E-22
     1.202   1.9087E-22   4.6825E-24   1.9555E-22
     1.216   2.1498E-22   4.7336E-24   2.1972E-22
     1.231   2.4291E-22   4.7830E-24   2.4769E-22
     1.245   2.6948E-22   4.8307E-24   2.7431E-22
     1.259   2.8679E-22   4.8780E-24   2.9167E-22
     1.274   2.8905E-22   4.9247E-24   2.9398E-22
     1.289   2.7741E-22   4.9701E-24   2.8238E-22
     1.304   2.5812E-22   5.0140E-24   2.6313E-22
     1.319   2.3728E-22   5.0569E-24   2.4234E-22
     1.335   2.1834E-22   5.0981E-24   2.2344E-22
     1.350   2.0248E-22   5.1374E-24   2.0762E-22
     1.366   1.8970E-22   5.1750E-24   1.9487E-22
     1.382   1.7955E-22   5.2104E-24   1.8476E-22
     1.398   1.7154E-22   5.2435E-24   1.7678E-22
     1.415   1.6520E-22   5.2747E-24   1.7048E-22
     1.431   1.6019E-22   5.3040E-24   1.6549E-22
     1.448   1.5619E-22   5.3314E-24   1.6152E-22
     1.465   1.5301E-22   5.3572E-24   1.5836E-22
     1.482   1.5046E-22   5.3816E-24   1.5584E-22
     1.499   1.4842E-22   5.4041E-24   1.5382E-22
     1.517   1.4677E-22   5.4248E-24   1.5219E-22
     1.534   1.4543E-22   5.4436E-24   1.5088E-22
     1.552   1.4435E-22   5.4605E-24   1.4981E-22
     1.570   1.4347E-22   5.4751E-24   1.4894E-22
     1.589   1.4273E-22   5.4879E-24   1.4822E-22
     1.607   1.4210E-22   5.4990E-24   1.4760E-22
     1.626   1.4154E-22   5.5082E-24   1.4705E-22
     1.645   1.4102E-22   5.5157E-24   1.4654E-22
     1.664   1.4050E-22   5.5210E-24   1.4602E-22
     1.684   1.3993E-22   5.5248E-24   1.4546E-22
     1.704   1.3929E-22   5.5272E-24   1.4482E-22
     1.723   1.3853E-22   5.5283E-24   1.4406E-22
     1.744   1.3756E-22   5.5281E-24   1.4309E-22
     1.764   1.3630E-22   5.5265E-24   1.4182E-22
     1.785   1.3458E-22   5.5244E-24   1.4011E-22
     1.805   1.3223E-22   5.5214E-24   1.3776E-22
     1.826   1.2903E-22   5.5173E-24   1.3455E-22
     1.848   1.2487E-22   5.5119E-24   1.3038E-22
     1.869   1.2015E-22   5.5053E-24   1.2565E-22
     1.891   1.1622E-22   5.4975E-24   1.2172E-22
     1.913   1.1500E-22   5.4885E-24   1.2049E-22
     1.936   1.1704E-22   5.4780E-24   1.2252E-22
     1.958   1.2091E-22   5.4662E-24   1.2637E-22
     1.981   1.2494E-22   5.4531E-24   1.3040E-22
